productType,variantId,sku,prices,tax,categories,description.en-US,images,name.en-US,slug.en-US,metaTitle.en-US,metaDescription.en-US,metaKeywords.en-US,designer,material,arrangement
main,1,2,USD 13999,standard,armchairs,"Whether you're curling up with a good book, hosting intimate gatherings, or simply seeking a stylish accent piece, this modern wooden armchair is the perfect choice. Its timeless design and exceptional craftsmanship will add a touch of elegance and sophistication to any room.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_15--f1xxSEfO.jpg; https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--NCxPtpKL.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--q_Bc97UA.jpg,Loman,loman,loman,"Whether you're curling up with a good book, hosting intimate gatherings, or simply seeking a stylish accent piece, this modern wooden armchair is the perfect choice. Its timeless design and exceptional craftsmanship will add a touch of elegance and sophistication to any room.",basic,Fangorn Planks,wooden,house
main,1,3,USD 3999,standard,armchairs,The sleek and modern design of this chair makes it a great choice for any contemporary space.,https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--AfR_sEuv.jpg; https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--JaKro8-u.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--mboSzfF5.jpg,Hukol,hukol,hukol,The sleek and modern design of this chair makes it a great choice for any contemporary space,basic;,Mordor Forges,metal,house
main,1,4,USD 12099,standard,armchairs,"This metal armchair is a versatile piece that seamlessly blends style and functionality, making it an ideal addition to any contemporary space.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--8bVtyZpX.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--nJqYnVsT.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_20--UfyprpRz.jpg,Jolko,jolko,jolko,"This metal armchair is a versatile piece that seamlessly blends style and functionality, making it an ideal addition to any contemporary space.",basic;,Elven Craftsmen,metal,house
main,1,5,USD 35999,standard,tables,"The tabletop, a canvas for modern design, can be fashioned from a variety of materials, from sleek, polished stone to warm, weathered wood. The interplay of these materials creates a unique visual and tactile experience, highlighting the table's contemporary aesthetic.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--1CSFTBRj.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--lzW2DmOw.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--bTBjeUd1.jpg,Aspen coffee table,aspen-coffee-table,Aspen coffee table,"The tabletop, a canvas for modern design, can be fashioned from a variety of materials, from sleek, polished stone to warm, weathered wood. The interplay of these materials creates a unique visual and tactile experience, highlighting the table's contemporary aesthetic.",basic;,Mordor Forges,metal,house
main,1,6,USD 25999,standard,tables,"A modern metal table is a testament to sleek lines and minimalist design. Its frame, crafted from sturdy steel or aluminum, often boasts a powder-coated finish, offering a durable and vibrant palette of colors.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--EkuxZPEy.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--QCU0yP56.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--bpBYjODs.jpg,Modern bug,modern-bug,Modern bug,"A modern metal table is a testament to sleek lines and minimalist design. Its frame, crafted from sturdy steel or aluminum, often boasts a powder-coated finish, offering a durable and vibrant palette of colors.",basic;,Elven Craftsmen,metal,house
main,1,7,USD 7890,standard,tables,"Modern plastic tables come in a wide range of shapes, sizes, and colors, allowing you to choose the perfect table to complement your décor and space requirements. From minimalist rectangular tables to round tables with intricate patterns, there's a plastic table to suit every taste and style. Whether you're looking for a dining table, a coffee table, or a side table, modern plastic tables offer a combination of durability, style, and functionality that is unmatched by other materials.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--xF2uoTiY.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--7PboMUBH.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--gMQR4MoX.jpg,Solar eclipse table,table-solar-eclipse,Solar eclipse table,"Modern plastic tables come in a wide range of shapes, sizes, and colors, allowing you to choose the perfect table to complement your décor and space requirements. From minimalist rectangular tables to round tables with intricate patterns, there's a plastic table to suit every taste and style. Whether you're looking for a dining table, a coffee table, or a side table, modern plastic tables offer a combination of durability, style, and functionality that is unmatched by other materials.",basic;,Orthanc tower plastics,plastic,house
main,1,8,USD 95900,standard,tables,"Whether it's a sturdy dining table with a generous expanse for family gatherings, a compact coffee table perfect for intimate conversations, or a sleek desk designed for productivity, the modern wooden table offers a versatile and enduring presence. Its sturdy construction and minimalist design ensure a lasting impression, while its natural beauty and inherent warmth create a welcoming and inviting atmosphere.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-21_15--hJ5ECOE6.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--Z4_-w6es.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--bV7tW5qL.jpg,Wooden ash table,table-wooden-ash,Wooden ash table,"Whether it's a sturdy dining table with a generous expanse for family gatherings, a compact coffee table perfect for intimate conversations, or a sleek desk designed for productivity, the modern wooden table offers a versatile and enduring presence. Its sturdy construction and minimalist design ensure a lasting impression, while its natural beauty and inherent warmth create a welcoming and inviting atmosphere.",basic;,Hobbit Village,wooden,house
main,1,9,USD 15999,standard,tables,"Its clean lines and uncluttered silhouette complement a wide range of interior styles, from industrial chic to minimalist contemporary. Whether gracing a living room, dining area, or workspace, a modern metal table adds a touch of sophistication and functionality, making it a timeless piece that seamlessly blends form and function.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--DAfpicaw.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--zYpasRT0.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--X1xf38QR.jpg,Glory sky table,table-glory-sky,Glory sky table,"Its clean lines and uncluttered silhouette complement a wide range of interior styles, from industrial chic to minimalist contemporary. Whether gracing a living room, dining area, or workspace, a modern metal table adds a touch of sophistication and functionality, making it a timeless piece that seamlessly blends form and function.",basic;,Mordor Forges,metal,house
main,1,10,USD 85900,standard,tables,"Crafted from sustainably sourced hardwoods, the table's rich grain patterns and warm hues create a natural focal point, adding a touch of organic beauty to the room. The smooth, lacquered finish not only protects the wood but also enhances its natural brilliance, reflecting light and adding a subtle sheen.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-21_15--GmrBkFjL.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--YHOZncLn.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--BQ9uNzhm.jpg,Espresso coffee table,table-espresso-coffee,Espresso coffee table,"Crafted from sustainably sourced hardwoods, the table's rich grain patterns and warm hues create a natural focal point, adding a touch of organic beauty to the room. The smooth, lacquered finish not only protects the wood but also enhances its natural brilliance, reflecting light and adding a subtle sheen.",basic;,Fangorn Planks,wooden,house
main,1,11,USD 75900,standard,tables,"The modern wooden table, a testament to both timeless elegance and contemporary design, stands as a centerpiece in any living space. Its sleek lines and minimalist form exude a sense of understated sophistication, seamlessly blending with a multitude of interior styles.",https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--t5UJcz4i.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--pGZd2-CU.jpg;https://images.cdn.europe-west1.gcp.commercetools.com/ff91879f-f4a7-436e-bc45-97970b384e8e/photo_2024-05-24_19--TmlzuG_s.jpg,The ancient tavern table,table-ancient-tavern,The ancient tavern table,"The modern wooden table, a testament to both timeless elegance and contemporary design, stands as a centerpiece in any living space. Its sleek lines and minimalist form exude a sense of understated sophistication, seamlessly blending with a multitude of interior styles.",basic;,Hobbit Village,wooden,house
